name,personal_risk_exposure,decision_making_power,days_in_risk_zones,category
Zelensky,92.5,92.5,432.5,Exposed Leader
Putin,30.0,97.5,7.5,Mixed
Merz,5.0,87.5,3.0,Insulated Leader
Scholz,5.0,85.0,3.5,Insulated Leader
Macron,10.0,90.0,7.5,Insulated Leader
Merkel,5.0,90.0,0.0,Insulated Leader
von_der_Leyen,5.0,95.0,6.0,Insulated Leader
Taiclet_Lockheed,15.0,65.0,0.0,Defense CEO
Papperger_Rheinmetall,10.0,62.5,0.0,Defense CEO
Woodburn_BAE,5.0,60.0,0.0,Defense CEO
Poroshenko,45.0,75.0,20.0,Exposed Leader
Netanyahu,60.0,60.0,50.0,Exposed Leader
Biden,10.0,97.5,2.5,Insulated Leader
Johnson,15.0,80.0,10.0,Insulated Leader
