query,publishedAt,title,channelTitle,url,description
тцк,2025-11-15T06:47:20Z,#тцк #бусификация #харьков #новыедома #бульварюрьева #комунальная,egoisT,https://www.youtube.com/watch?v=g18_GwLz4w0,
тцк,2025-11-15T03:57:17Z,ТЦКашники це військові чи мародери? Підпишись🔥щоб бути в курсі подій #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=tMkgX1JQZPo,
бусификация,2025-11-14T12:04:47Z,Бусификация. Последствия ,Mazur Vox | Live,https://www.youtube.com/watch?v=Hy-4gRTC81E,
бусификация,2025-11-14T06:07:15Z,Девушку а брали ТЦК  #бусификация #тцк,Borsch Production,https://www.youtube.com/watch?v=24Mb8yKm8IY,
бусификация,2025-11-14T05:52:11Z,Женщину забрали ТЦК #бусификация #тцк,Borsch Production,https://www.youtube.com/watch?v=ktBZ7SNm19I,
бусификация,2025-11-14T02:26:31Z,АНДРЕЙ ЛУГАНСКИЙ - ХРОНИКИ БУСИФИКАЦИИ    LIVE для своих   Альтернативный Единый Марафон,ТурбоУхилянт,https://www.youtube.com/watch?v=BH5asHq_Zgo,АНДРЕЙ ЛУГАНСКИЙ - ХРОНИКИ БУСИФИКАЦИИ LIVE для своих Альтернативный Единый Марафон Видео взято с ...
бусификация,2025-11-13T16:20:22Z,Реальне ставлення поліції до військових.Підпишись🚨підтримай поширення #бусификация #бусифікація,ЗлийКіт,https://www.youtube.com/watch?v=Q5eZ39pBlw4,
бусификация,2025-11-13T11:57:21Z,Жінка до останнього захищала чоловіка від ТЦК.Підпишись🚨підтримай поширенням#бусификация#бусифікація,ЗлийКіт,https://www.youtube.com/watch?v=JS1iHPc9Ic4,
бусификация,2025-11-13T11:50:30Z,Зупинило ТЦК...Підпишись🚨підтримай поширення #бусификация #бусифікація #тцк,ЗлийКіт,https://www.youtube.com/watch?v=5GtzgFpRvkU,
бусификация,2025-11-13T11:22:30Z,ТЦК не очікувало камер...Підпишись🚨підтримай поширення#бусифікація #тцк#бусификация,ЗлийКіт,https://www.youtube.com/watch?v=03gmhAGJweo,
бусификация,2025-11-13T11:09:10Z,🤔Поліція заробляє криваву копійочку⁉️Підпишись🔥щоб бути в курсі подій #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=EaGBpKTGQqs,
бусификация,2025-11-13T11:02:45Z,🤯ТЦК плати поліції за громадян⁉️Підпишись🔥щоб бути в курсі подій #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=_P4S67-nwsQ,
бусификация,2025-11-13T09:35:41Z,Бологов Сергей Александрович 66 омбр #бусификация #война #зсу #пленныевсу #лиман #бездомные #всу,Устами ПЛЕННОГО,https://www.youtube.com/watch?v=ZqrpRTU1Wvc,"Небанальная история - вышел с рехаба, оказался в окопе..."
бусификация,2025-11-12T16:59:53Z,🤯Реальне оповіщення.Підпишись‼️щоб бути в курсі подій #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=bPh5eQkgc8g,
бусификация,2025-11-12T15:08:32Z,Тцк хотело запихнуть в бус. Бусификация,Paragliding. ua,https://www.youtube.com/watch?v=4M7cH2OdSEM,
бусификация,2025-11-12T04:20:35Z,Образцово-показательная бусификация &quot;добровольца&quot; в Волыни #тцк #войнавукраине2025 #зеленский,БусификаторUA,https://www.youtube.com/watch?v=PMB9ou6bDJY,
бусификация,2025-11-12T03:29:16Z,Цього разу йому пощастило...Підпишись🔥щоб бути в курсі подій #бусификация #бусифікація #тцк,Реалії України 🇺🇦,https://www.youtube.com/watch?v=KIvruhQU6y0,
бусификация,2025-11-12T01:33:12Z,Женщину забрали ТЦК #бусификация #тцк,Borsch Production,https://www.youtube.com/watch?v=mxg26YbxBxo,
бусификация,2025-11-12T01:32:09Z,Беременную бусифицировали ТЦК #бусификация #тцк,Borsch Production,https://www.youtube.com/watch?v=cnnIdiJ8Ya4,
бусификация,2025-11-11T17:12:42Z,Николаев. Бусификация, WAR in UKRAINE 2022 !,https://www.youtube.com/watch?v=3MIKkGzCJyw,ВСЕМ КТО ХОЧЕТ ПОМОЧЬ ЛЮДЯМ ВЫЖИТЬ : TO EVERYONE WHO WANTS TO HELP PEOPLE SURVIVE: MONOBANK ...
бусификация,2025-11-11T17:10:12Z,Бусификация прямо на глазах у ребенка. Одесса, WAR in UKRAINE 2022 !,https://www.youtube.com/watch?v=9tPnzYetR5c,ВСЕМ КТО ХОЧЕТ ПОМОЧЬ ЛЮДЯМ ВЫЖИТЬ : TO EVERYONE WHO WANTS TO HELP PEOPLE SURVIVE: MONOBANK ...
бусификация,2025-11-11T09:00:35Z,Сапожко Сергей Валентинович 66 ОМБр #бусификация #война #зсу #пленныевсу #лиман #всу,Устами ПЛЕННОГО,https://www.youtube.com/watch?v=G_cBCb9I_xU,"Как мог скрывался от ТЦК, но с каждым днем это все сложнее и сложнее..."
бусификация,2025-11-10T21:21:22Z,Беспредел ТЦК в УКРАИНЕ / ПОХИЩЕНИЕ МУЖИКОВ /(Бусификация)- РЕАКЦИЯ 2 часть,Crepy_YT 🅥,https://www.youtube.com/watch?v=IoJ5t997wWU,"В этом ролике мы посмотрим работу ТЦК в Украине, так называемую БУСИФИКАЦИЮ, в городе Одесса, так как давно ..."
бусификация,2025-11-10T21:03:51Z,10-11-2025 Как Анджелина Джоли посетила Украину!#стасайкакпросто #бусификация #украина#сво,sastik,https://www.youtube.com/watch?v=58Zy9pyw14c,телеграм: СТАС БОМБИТ Сасфликс - sasflix.ru vkvideo.ru/@ikakprosto vkvideo.ru/@algoritm_101.
