query,publishedAt,duration_min,title,channelTitle,url,description
бусификация,2026-03-15T06:00:28Z,0.27,"ТЦК штурмують маршрутки, а мали б посадки. #бусификация #бусифікація #тцк #новини",ЗлийКіт,https://www.youtube.com/watch?v=Nc4wcMZhTaY,
бусификация,2026-03-14T10:54:20Z,13.97,Бусификация разрешается? Законопроект 15076.,Адвокат Олег Лукьянчиков,https://www.youtube.com/watch?v=9Gb6QE5lTDk,Мой Telegram канал: https://t.me/Oleg_legalist Стать спонсором канала: ...
бусификация,2026-03-14T08:00:14Z,0.35,Махач з ТЦК.Одеса. #бусификация #бусифікація #тцк #news,ЗлийКіт,https://www.youtube.com/watch?v=GUEJ2teP-fg,
бусификация,2026-03-13T15:01:27Z,0.45,Люди врятували від бусифікаторів. #бусификация #бусифікація #новини #тцк,ЗлийКіт,https://www.youtube.com/watch?v=pUa76HjtHsU,
бусификация,2026-03-13T13:13:31Z,9.5,Днепр Взрывы🔥Прилеты по Больнице🔥Врачи Погибли🔥Бусификация в Центре Города🔥Днепр 13 марта 2026 г.,Барахолка ТВ,https://www.youtube.com/watch?v=llDiDOuj_m0,пропитание. : rolandofgilead@ukr.net (PayPal)-Международные Переводы Банковская Карта: 4441111066579164 (Украина) ...
бусификация,2026-03-12T15:37:56Z,0.28,#влк #украина #бусификация,ТемноTV,https://www.youtube.com/watch?v=Y_Z8d2iuJTA,
бусификация,2026-03-12T15:31:35Z,0.15,Місія &quot;Бусифікація&quot; провалена😂 #бусификация #новини #тцк #news,ЗлийКіт,https://www.youtube.com/watch?v=p0t9I1gP7tU,
бусификация,2026-03-12T06:53:27Z,0.93,Бусификация в России.,ВОТ ЧТО shorts,https://www.youtube.com/watch?v=7dIa_elaJZ4,
бусификация,2026-03-12T05:00:01Z,0.23,Бусифікація не вдалась😎 #бусифікація #бусификация #новини #бусификация #тцк #news,ЗлийКіт,https://www.youtube.com/watch?v=-e5-LKUhBNI,
бусификация,2026-03-12T04:35:05Z,0.4,Бусификация велосепидиста в Виннице  #войнавукраине2026 #тцк #зеленский,Velier Merider,https://www.youtube.com/watch?v=LYHKoI6wPyo,
