date,is_known,is_EU,country,duration_sec,analysis_period,trigger_48h,trigger_7d,trigger_1M,date_dt,Δt_hours,anomaly_score
2022-06-09 12:08:53,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-09 12:08:53,-27611.851944444443,3
2022-06-12 12:37:23,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-12 12:37:23,-27539.376944444444,3
2022-06-14 12:21:55,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-14 12:21:55,-27491.63472222222,3
2022-06-14 12:37:12,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-14 12:37:12,-27491.38,3
2022-06-16 09:51:33,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-16 09:51:33,-27446.140833333335,3
2022-06-19 12:28:36,False,True,DE,39,Baseline (Pre-Audit),False,False,False,2022-06-19 12:28:36,-27371.523333333334,3
2022-06-19 12:29:59,False,True,DE,11,Baseline (Pre-Audit),False,False,False,2022-06-19 12:29:59,-27371.500277777777,3
2022-06-19 12:30:45,False,True,DE,0,Baseline (Pre-Audit),False,False,False,2022-06-19 12:30:45,-27371.4875,4
2022-06-19 12:32:19,False,True,DE,0,Baseline (Pre-Audit),False,False,False,2022-06-19 12:32:19,-27371.46138888889,4
2022-06-19 12:35:57,False,True,DE,0,Baseline (Pre-Audit),False,False,False,2022-06-19 12:35:57,-27371.400833333333,4
2022-06-19 12:36:49,False,,,1595,Baseline (Pre-Audit),False,False,False,2022-06-19 12:36:49,-27371.386388888888,2
2022-06-19 16:43:07,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-19 16:43:07,-27367.28138888889,1
2022-06-19 18:08:08,True,False,Non-EU,79,Baseline (Pre-Audit),False,False,False,2022-06-19 18:08:08,-27365.864444444444,0
2022-06-20 13:22:54,True,False,Non-EU,130,Baseline (Pre-Audit),False,False,False,2022-06-20 13:22:54,-27346.618333333332,0
2022-06-20 14:27:40,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-20 14:27:40,-27345.53888888889,1
2022-06-20 14:31:13,True,False,Non-EU,27,Baseline (Pre-Audit),False,False,False,2022-06-20 14:31:13,-27345.479722222222,0
2022-06-20 14:42:11,True,False,Non-EU,38,Baseline (Pre-Audit),False,False,False,2022-06-20 14:42:11,-27345.296944444446,0
2022-06-20 14:52:33,True,False,Non-EU,63,Baseline (Pre-Audit),False,False,False,2022-06-20 14:52:33,-27345.12416666667,0
2022-06-20 14:59:48,True,False,Non-EU,28,Baseline (Pre-Audit),False,False,False,2022-06-20 14:59:48,-27345.003333333334,0
2022-06-20 15:12:43,True,False,Non-EU,6,Baseline (Pre-Audit),False,False,False,2022-06-20 15:12:43,-27344.788055555557,1
2022-06-20 15:36:45,True,False,Non-EU,86,Baseline (Pre-Audit),False,False,False,2022-06-20 15:36:45,-27344.3875,0
2022-06-20 17:59:50,True,False,Non-EU,45,Baseline (Pre-Audit),False,False,False,2022-06-20 17:59:50,-27342.00277777778,0
2022-06-21 15:30:41,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-21 15:30:41,-27320.488611111112,1
2022-06-21 16:07:57,True,,,20,Baseline (Pre-Audit),False,False,False,2022-06-21 16:07:57,-27319.8675,0
2022-06-21 19:11:53,True,False,Non-EU,40,Baseline (Pre-Audit),False,False,False,2022-06-21 19:11:53,-27316.801944444444,0
2022-06-21 19:13:27,True,False,Non-EU,11,Baseline (Pre-Audit),False,False,False,2022-06-21 19:13:27,-27316.775833333333,0
2022-06-21 19:13:54,True,False,Non-EU,97,Baseline (Pre-Audit),False,False,False,2022-06-21 19:13:54,-27316.768333333333,0
2022-06-21 20:27:19,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-21 20:27:19,-27315.54472222222,1
2022-06-23 08:45:53,True,False,Non-EU,82,Baseline (Pre-Audit),False,False,False,2022-06-23 08:45:53,-27279.235277777778,0
2022-06-23 08:53:28,True,False,Non-EU,148,Baseline (Pre-Audit),False,False,False,2022-06-23 08:53:28,-27279.108888888888,0
2022-06-23 09:10:31,True,False,Non-EU,49,Baseline (Pre-Audit),False,False,False,2022-06-23 09:10:31,-27278.824722222223,0
2022-06-23 14:08:05,True,False,Non-EU,45,Baseline (Pre-Audit),False,False,False,2022-06-23 14:08:05,-27273.86527777778,0
2022-06-23 15:19:55,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-23 15:19:55,-27272.668055555554,3
2022-06-23 15:20:42,True,False,Non-EU,27,Baseline (Pre-Audit),False,False,False,2022-06-23 15:20:42,-27272.655,0
2022-06-23 15:22:26,False,False,Non-EU,419,Baseline (Pre-Audit),False,False,False,2022-06-23 15:22:26,-27272.626111111113,2
2022-06-23 15:33:08,False,,,151,Baseline (Pre-Audit),False,False,False,2022-06-23 15:33:08,-27272.44777777778,2
2022-06-23 15:35:53,False,,,600,Baseline (Pre-Audit),False,False,False,2022-06-23 15:35:53,-27272.401944444446,2
2022-06-23 15:50:48,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-23 15:50:48,-27272.153333333332,3
2022-06-23 15:55:25,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-23 15:55:25,-27272.07638888889,3
2022-06-24 08:13:48,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-24 08:13:48,-27255.77,1
2022-06-24 08:14:31,True,False,Non-EU,143,Baseline (Pre-Audit),False,False,False,2022-06-24 08:14:31,-27255.758055555554,0
2022-06-24 08:19:00,True,False,Non-EU,33,Baseline (Pre-Audit),False,False,False,2022-06-24 08:19:00,-27255.683333333334,0
2022-06-24 09:14:31,True,False,Non-EU,34,Baseline (Pre-Audit),False,False,False,2022-06-24 09:14:31,-27254.758055555554,0
2022-06-25 12:54:10,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-25 12:54:10,-27227.097222222223,1
2022-06-25 13:03:06,True,False,Non-EU,44,Baseline (Pre-Audit),False,False,False,2022-06-25 13:03:06,-27226.948333333334,0
2022-06-25 18:47:09,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-25 18:47:09,-27221.21416666667,1
2022-06-25 20:55:20,True,False,Non-EU,16,Baseline (Pre-Audit),False,False,False,2022-06-25 20:55:20,-27219.077777777777,0
2022-06-26 08:43:55,False,,,0,Baseline (Pre-Audit),False,False,False,2022-06-26 08:43:55,-27207.268055555556,3
2022-06-26 08:56:31,False,False,Non-EU,43,Baseline (Pre-Audit),False,False,False,2022-06-26 08:56:31,-27207.058055555557,2
2022-06-26 13:03:31,False,,,236,Baseline (Pre-Audit),False,False,False,2022-06-26 13:03:31,-27202.94138888889,2
2022-06-26 13:32:42,False,,,1873,Baseline (Pre-Audit),False,False,False,2022-06-26 13:32:42,-27202.455,2
2022-06-26 14:03:25,False,,,0,Baseline (Pre-Audit),False,False,False,2022-06-26 14:03:25,-27201.943055555555,3
2022-06-26 14:03:25,False,,,0,Baseline (Pre-Audit),False,False,False,2022-06-26 14:03:25,-27201.943055555555,3
2022-06-26 14:04:51,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-26 14:04:51,-27201.919166666667,3
2022-06-26 14:05:22,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-26 14:05:22,-27201.910555555554,3
2022-06-26 14:05:42,False,,,0,Baseline (Pre-Audit),False,False,False,2022-06-26 14:05:42,-27201.905,3
2022-06-26 14:05:56,False,,,0,Baseline (Pre-Audit),False,False,False,2022-06-26 14:05:56,-27201.90111111111,3
2022-06-26 14:06:19,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-26 14:06:19,-27201.894722222223,3
2022-06-26 14:08:52,False,,,0,Baseline (Pre-Audit),False,False,False,2022-06-26 14:08:52,-27201.852222222224,3
2022-06-26 14:11:57,False,False,Non-EU,119,Baseline (Pre-Audit),False,False,False,2022-06-26 14:11:57,-27201.800833333335,2
2022-06-26 14:19:38,False,,,0,Baseline (Pre-Audit),False,False,False,2022-06-26 14:19:38,-27201.672777777778,3
2022-06-26 14:19:51,False,,,2159,Baseline (Pre-Audit),False,False,False,2022-06-26 14:19:51,-27201.669166666667,2
2022-06-26 14:57:12,False,,,3313,Baseline (Pre-Audit),False,False,False,2022-06-26 14:57:12,-27201.046666666665,2
2022-06-26 15:07:37,True,False,Non-EU,9,Baseline (Pre-Audit),False,False,False,2022-06-26 15:07:37,-27200.873055555556,1
2022-06-26 15:52:39,False,,,1745,Baseline (Pre-Audit),False,False,False,2022-06-26 15:52:39,-27200.1225,2
2022-06-26 16:22:01,False,True,DE,116,Baseline (Pre-Audit),False,False,False,2022-06-26 16:22:01,-27199.633055555554,3
2022-06-26 16:24:11,False,True,DE,0,Baseline (Pre-Audit),False,False,False,2022-06-26 16:24:11,-27199.596944444445,4
2022-06-26 16:25:48,False,True,DE,0,Baseline (Pre-Audit),False,False,False,2022-06-26 16:25:48,-27199.57,4
2022-06-26 16:26:01,False,,,2413,Baseline (Pre-Audit),False,False,False,2022-06-26 16:26:01,-27199.56638888889,2
2022-06-26 17:06:28,False,True,DE,0,Baseline (Pre-Audit),False,False,False,2022-06-26 17:06:28,-27198.89222222222,4
2022-06-27 08:32:45,False,,,108,Baseline (Pre-Audit),False,False,False,2022-06-27 08:32:45,-27183.454166666666,2
2022-06-27 08:34:48,False,,,75,Baseline (Pre-Audit),False,False,False,2022-06-27 08:34:48,-27183.42,2
2022-06-27 09:31:40,False,,,10,Baseline (Pre-Audit),False,False,False,2022-06-27 09:31:40,-27182.472222222223,2
2022-06-27 11:58:23,False,,,73,Baseline (Pre-Audit),False,False,False,2022-06-27 11:58:23,-27180.026944444446,2
2022-06-27 11:59:43,True,False,Non-EU,234,Baseline (Pre-Audit),False,False,False,2022-06-27 11:59:43,-27180.004722222224,0
2022-06-27 12:05:34,False,True,DE,510,Baseline (Pre-Audit),False,False,False,2022-06-27 12:05:34,-27179.907222222224,3
2022-06-27 12:31:31,False,False,Non-EU,154,Baseline (Pre-Audit),False,False,False,2022-06-27 12:31:31,-27179.47472222222,2
2022-06-28 07:40:10,False,True,DE,0,Baseline (Pre-Audit),False,False,False,2022-06-28 07:40:10,-27160.330555555556,4
2022-06-28 07:55:51,False,True,DE,0,Baseline (Pre-Audit),False,False,False,2022-06-28 07:55:51,-27160.069166666668,4
2022-06-28 08:00:16,False,True,DE,973,Baseline (Pre-Audit),False,False,False,2022-06-28 08:00:16,-27159.995555555557,3
2022-06-28 09:40:48,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-28 09:40:48,-27158.32,3
2022-06-28 09:46:38,False,False,Non-EU,27,Baseline (Pre-Audit),False,False,False,2022-06-28 09:46:38,-27158.222777777777,2
2022-06-28 11:01:30,False,False,Non-EU,56,Baseline (Pre-Audit),False,False,False,2022-06-28 11:01:30,-27156.975,2
2022-06-28 11:07:21,True,False,Non-EU,11,Baseline (Pre-Audit),False,False,False,2022-06-28 11:07:21,-27156.8775,0
2022-06-28 11:12:17,True,False,Non-EU,13,Baseline (Pre-Audit),False,False,False,2022-06-28 11:12:17,-27156.79527777778,0
2022-06-28 11:44:18,True,False,Non-EU,13,Baseline (Pre-Audit),False,False,False,2022-06-28 11:44:18,-27156.261666666665,0
2022-06-28 11:55:20,False,True,DE,77,Baseline (Pre-Audit),False,False,False,2022-06-28 11:55:20,-27156.077777777777,3
2022-06-28 12:03:30,False,,,119,Baseline (Pre-Audit),False,False,False,2022-06-28 12:03:30,-27155.941666666666,2
2022-06-28 12:05:41,False,,,71,Baseline (Pre-Audit),False,False,False,2022-06-28 12:05:41,-27155.905277777776,2
2022-06-28 12:43:10,False,True,DE,2903,Baseline (Pre-Audit),False,False,False,2022-06-28 12:43:10,-27155.280555555557,3
2022-06-28 13:38:39,False,False,Non-EU,28,Baseline (Pre-Audit),False,False,False,2022-06-28 13:38:39,-27154.355833333335,2
2022-06-28 15:03:28,False,False,Non-EU,77,Baseline (Pre-Audit),False,False,False,2022-06-28 15:03:28,-27152.942222222224,2
2022-06-28 15:16:42,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-28 15:16:42,-27152.721666666668,1
2022-06-28 15:35:40,True,False,Non-EU,106,Baseline (Pre-Audit),False,False,False,2022-06-28 15:35:40,-27152.405555555557,0
2022-06-28 16:27:32,True,False,Non-EU,276,Baseline (Pre-Audit),False,False,False,2022-06-28 16:27:32,-27151.54111111111,0
2022-06-28 16:36:42,True,False,Non-EU,194,Baseline (Pre-Audit),False,False,False,2022-06-28 16:36:42,-27151.388333333332,0
2022-06-28 17:02:33,True,,,38,Baseline (Pre-Audit),False,False,False,2022-06-28 17:02:33,-27150.9575,0
2022-06-28 17:03:05,True,False,Non-EU,10,Baseline (Pre-Audit),False,False,False,2022-06-28 17:03:05,-27150.94861111111,0
2022-06-28 17:05:41,True,False,Non-EU,83,Baseline (Pre-Audit),False,False,False,2022-06-28 17:05:41,-27150.905277777776,0
2022-06-28 17:28:23,True,False,Non-EU,16,Baseline (Pre-Audit),False,False,False,2022-06-28 17:28:23,-27150.526944444446,0
2022-06-28 17:41:05,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-28 17:41:05,-27150.31527777778,1
2022-06-28 17:41:19,True,False,Non-EU,64,Baseline (Pre-Audit),False,False,False,2022-06-28 17:41:19,-27150.311388888887,0
2022-06-29 10:17:46,True,False,Non-EU,30,Baseline (Pre-Audit),False,False,False,2022-06-29 10:17:46,-27133.70388888889,0
2022-06-29 10:26:01,True,False,Non-EU,205,Baseline (Pre-Audit),False,False,False,2022-06-29 10:26:01,-27133.56638888889,0
2022-06-29 11:28:46,True,False,Non-EU,44,Baseline (Pre-Audit),False,False,False,2022-06-29 11:28:46,-27132.520555555555,0
2022-06-29 11:29:46,True,False,Non-EU,70,Baseline (Pre-Audit),False,False,False,2022-06-29 11:29:46,-27132.50388888889,0
2022-06-29 11:38:49,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-29 11:38:49,-27132.353055555555,1
2022-06-29 11:39:44,True,False,Non-EU,43,Baseline (Pre-Audit),False,False,False,2022-06-29 11:39:44,-27132.33777777778,0
2022-06-29 15:33:53,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-29 15:33:53,-27128.43527777778,1
2022-06-29 18:36:35,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-29 18:36:35,-27125.390277777777,1
2022-06-29 20:45:40,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-29 20:45:40,-27123.23888888889,1
2022-06-29 21:17:25,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-29 21:17:25,-27122.709722222222,1
2022-06-29 21:50:15,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-29 21:50:15,-27122.1625,1
2022-06-29 22:05:05,True,False,Non-EU,39,Baseline (Pre-Audit),False,False,False,2022-06-29 22:05:05,-27121.915277777778,0
2022-06-29 23:27:09,True,False,Non-EU,81,Baseline (Pre-Audit),False,False,False,2022-06-29 23:27:09,-27120.5475,0
2022-06-29 23:52:00,True,False,Non-EU,25,Baseline (Pre-Audit),False,False,False,2022-06-29 23:52:00,-27120.133333333335,0
2022-06-30 03:50:36,True,,,22,Baseline (Pre-Audit),False,False,False,2022-06-30 03:50:36,-27116.156666666666,0
2022-06-30 03:59:38,True,,,32,Baseline (Pre-Audit),False,False,False,2022-06-30 03:59:38,-27116.00611111111,0
2022-06-30 04:08:12,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-06-30 04:08:12,-27115.863333333335,1
2022-06-30 04:09:40,True,,,0,Baseline (Pre-Audit),False,False,False,2022-06-30 04:09:40,-27115.838888888888,1
2022-06-30 04:38:54,True,,,61,Baseline (Pre-Audit),False,False,False,2022-06-30 04:38:54,-27115.351666666666,0
2022-06-30 05:01:29,True,,,44,Baseline (Pre-Audit),False,False,False,2022-06-30 05:01:29,-27114.97527777778,0
2022-07-11 07:49:56,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False,2022-07-11 07:49:56,-26848.167777777777,3
