date,is_known,is_EU,country,duration_sec,analysis_period,trigger_48h,trigger_7d,trigger_1M
2022-06-09 12:08:53,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-12 12:37:23,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-14 12:21:55,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-14 12:37:12,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-16 09:51:33,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-19 12:28:36,False,True,DE,39,Baseline (Pre-Audit),False,False,False
2022-06-19 12:29:59,False,True,DE,11,Baseline (Pre-Audit),False,False,False
2022-06-19 12:30:45,False,True,DE,0,Baseline (Pre-Audit),False,False,False
2022-06-19 12:32:19,False,True,DE,0,Baseline (Pre-Audit),False,False,False
2022-06-19 12:35:57,False,True,DE,0,Baseline (Pre-Audit),False,False,False
2022-06-19 12:36:49,False,,,1595,Baseline (Pre-Audit),False,False,False
2022-06-19 16:43:07,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-19 18:08:08,True,False,Non-EU,79,Baseline (Pre-Audit),False,False,False
2022-06-20 13:22:54,True,False,Non-EU,130,Baseline (Pre-Audit),False,False,False
2022-06-20 14:27:40,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-20 14:31:13,True,False,Non-EU,27,Baseline (Pre-Audit),False,False,False
2022-06-20 14:42:11,True,False,Non-EU,38,Baseline (Pre-Audit),False,False,False
2022-06-20 14:52:33,True,False,Non-EU,63,Baseline (Pre-Audit),False,False,False
2022-06-20 14:59:48,True,False,Non-EU,28,Baseline (Pre-Audit),False,False,False
2022-06-20 15:12:43,True,False,Non-EU,6,Baseline (Pre-Audit),False,False,False
2022-06-20 15:36:45,True,False,Non-EU,86,Baseline (Pre-Audit),False,False,False
2022-06-20 17:59:50,True,False,Non-EU,45,Baseline (Pre-Audit),False,False,False
2022-06-21 15:30:41,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-21 16:07:57,True,,,20,Baseline (Pre-Audit),False,False,False
2022-06-21 19:11:53,True,False,Non-EU,40,Baseline (Pre-Audit),False,False,False
2022-06-21 19:13:27,True,False,Non-EU,11,Baseline (Pre-Audit),False,False,False
2022-06-21 19:13:54,True,False,Non-EU,97,Baseline (Pre-Audit),False,False,False
2022-06-21 20:27:19,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-23 08:45:53,True,False,Non-EU,82,Baseline (Pre-Audit),False,False,False
2022-06-23 08:53:28,True,False,Non-EU,148,Baseline (Pre-Audit),False,False,False
2022-06-23 09:10:31,True,False,Non-EU,49,Baseline (Pre-Audit),False,False,False
2022-06-23 14:08:05,True,False,Non-EU,45,Baseline (Pre-Audit),False,False,False
2022-06-23 15:19:55,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-23 15:20:42,True,False,Non-EU,27,Baseline (Pre-Audit),False,False,False
2022-06-23 15:22:26,False,False,Non-EU,419,Baseline (Pre-Audit),False,False,False
2022-06-23 15:33:08,False,,,151,Baseline (Pre-Audit),False,False,False
2022-06-23 15:35:53,False,,,600,Baseline (Pre-Audit),False,False,False
2022-06-23 15:50:48,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-23 15:55:25,False,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-24 08:13:48,True,False,Non-EU,0,Baseline (Pre-Audit),False,False,False
2022-06-24 08:14:31,True,False,Non-EU,143,Baseline (Pre-Audit),False,False,False
