id,published,title,views,unique_views,downloads,unique_downloads,months_since_pub,download_velocity,view_velocity,direct_download_anomaly,z_score_downloads,conversion_pct,reader_loyalty,download_depth,gini_share
21504393,2026-07-23,"Utilitarismus 404 | The Sealed Room and the Open Door: What Four Preprints Prove About Ethics, Power, and Machines",14,8,0,0,0.5,0.0,28.0,False,-0.5194740135001623,0.0,1.75,0.0,0.0
21499482,2026-07-22,"Good Bye, Lenin v3.0: The Thermodynamic and Geometrical Fallacy of Realpolitik, from the Balance of Power to the Grand Chessboard | Utilitarismus 404, Part II/IV",20,13,7,6,0.5,14.0,40.0,False,-0.4683931623043606,35.0,1.5384615384615385,1.1666666666666667,0.0030728709394205445
21498741,2026-07-22,"Red Team v1.0: An Adversarial Audit of the Open Architecture — Sixteen Attacks, the Extension Algorithm, and the Fiducial Axioms of Materialism | Utilitarismus 404, Part IV/IV",9,8,0,0,0.5,0.0,18.0,False,-0.5194740135001623,0.0,1.125,0.0,0.0
21498665,2026-07-22,"Hello, World v1.0: The Consistency of the Open System — A Positive Axiomatics for the Person, Synergy, and Grace | Utilitarismus 404, Part III/IV",9,8,0,0,0.5,0.0,18.0,False,-0.5194740135001623,0.0,1.125,0.0,0.0
21498358,2026-07-22,"The Bankruptcy of Trolley Calculus: Why the Utilitarian Arithmetic of Persons Is Formally Incoherent | Utilitarismus 404, Part I/IV",11,8,0,0,0.5,0.0,22.0,False,-0.5194740135001623,0.0,1.375,0.0,0.0
21493976,2026-07-22,CogOS: From Gödel to AGI,690,574,682,540,0.5,1364.0,1380.0,False,4.4572603458622355,98.84057971014492,1.2020905923344947,1.262962962962963,0.2993854258121159
20752588,2026-06-18,David vs. GOLIATH 2: Spiritual-Intellectual Boxing — A Socratic Audit of AI Narrative Enforcement and the Birth of the CGS Method,19,15,3,3,1.1826544021024967,2.5366666666666666,16.065555555555555,False,-0.49758222013053305,15.789473684210526,1.2666666666666666,1.0,0.0013169446883230904
20512792,2026-06-02,"ADAM-PentaD (QNexus): A Sovereign Complex-Spectral Wavefront Accelerator with Clifford-Algebra Compiler for Cognitively-Immune LLM Inference | [RESEARCH ***HYPOTHESIS***] | [wAI~wErrors, please focus on the ""vector""=vision] | [NO HDL --- ONLY CONCEPT]",196,142,298,196,1.7082785808147174,174.4446153846154,114.73538461538462,True,1.6551107945496832,152.0408163265306,1.380281690140845,1.5204081632653061,0.13081650570676032
19653869,2026-04-19,Attention is ALL you need 2: From NN Weight to HS Fate,187,137,136,88,3.1537450722733245,43.123333333333335,59.294583333333335,False,0.4729539525897,72.72727272727273,1.364963503649635,1.5454545454545454,0.05970149253731343
19456717,2026-04-07,"VKB-Training: Epistemic Metadata, Ontology Attention, and Cultural Compilers for Hallucination Reduction in Large Language Models",105,82,85,52,3.54796320630749,23.95740740740741,29.594444444444445,False,0.10079346530600165,80.95238095238095,1.2804878048780488,1.6346153846153846,0.03731343283582089
19373737,2026-04-01,"Systemic Verification Engineering: A Meta-Licensing Framework for Truth, Reproducibility, and Ethical Enforcement",50,38,55,39,3.7450722733245727,14.685964912280703,13.350877192982457,True,-0.11812446839029153,110.00000000000001,1.3157894736842106,1.4102564102564104,0.024143985952589993
19322869,2026-03-29,FSIM: Fractal Semantic-Intellectual Matryoshka — A Formal Framework for Ontological Verification via Sincerity-Grounded Self-Referential Structures,21,19,11,11,3.843626806833114,2.861880341880342,5.463589743589744,False,-0.4392041044781882,52.38095238095239,1.105263157894737,1.0,0.004828797190517998
19313271,2026-03-29,The High Priests Axiom: Systemic Verification Engineering Applied to the Trial of Jesus,52,44,37,25,3.843626806833114,9.626324786324787,13.52888888888889,False,-0.24947522860806742,71.15384615384616,1.1818181818181819,1.48,0.01624231782265145
18882037,2026-03-05,Who Watches the Watchmen?,53,44,29,17,4.6320630749014455,6.260709219858156,11.441985815602838,False,-0.3078533442604123,54.71698113207547,1.2045454545454546,1.7058823529411764,0.012730465320456541
18881994,2026-03-05,The Cauchy-Gödel-Socrates (CGS) Method: A Formal Protocol for Recursive Logical Auditing of Large Language Models.,223,210,133,124,4.6320630749014455,28.71290780141844,48.142695035460996,False,0.45106215922007076,59.64125560538116,1.061904761904762,1.0725806451612903,0.058384547848990345
18329048,2026-01-21,2026 Pre-Art: CogOS Framework and SVE Research Protocols (SVE License v1.3+) [WIP],120,111,84,74,6.044678055190539,13.896521739130435,19.85217391304348,False,0.09349620084945855,70.0,1.0810810810810811,1.135135135135135,0.03687445127304653
18325387,2026-01-21,Epistemological Gymnasium [WIP],32,27,16,13,6.044678055190539,2.6469565217391304,5.293913043478261,False,-0.40271778219547266,50.0,1.1851851851851851,1.2307692307692308,0.007023705004389816
18262545,2026-01-15,The Ultimate Trolley Problem: Which Ethical Kernel Survives Generations?,286,239,342,316,6.241787122207621,54.792,45.82021052631579,True,1.97619043063758,119.58041958041959,1.1966527196652719,1.0822784810126582,0.15013169446883232
18109245,2025-12-31,S.V.E. XII: The SYSTEM,86,84,106,99,6.734559789750328,15.739707317073172,12.769951219512196,True,0.2540360188934069,123.25581395348837,1.0238095238095237,1.0707070707070707,0.046532045654082525
18109199,2025-12-31,S.V.E. XI: The Ox's Weights,71,68,26,23,6.734559789750328,3.8606829268292686,10.542634146341465,False,-0.3297451376300416,36.61971830985916,1.0441176470588236,1.1304347826086956,0.01141352063213345
18109172,2025-12-31,S.V.E. X: Cognitive Operating Systems for LLMs,16,15,17,14,6.734559789750328,2.5242926829268293,2.3758048780487804,True,-0.39542051773892956,106.25,1.0666666666666667,1.2142857142857142,0.007462686567164179
18109126,2025-12-31,S.V.E. IX: Systemic Verification Engineering,17,17,12,11,6.734559789750328,1.7818536585365854,2.5242926829268293,False,-0.4319068400216451,70.58823529411765,1.0,1.0909090909090908,0.0052677787532923615
18109077,2025-12-31,S.V.E. VIII: Provisional Ontology for Verifiable Ethics and Knowledge,36,35,12,12,6.734559789750328,1.7818536585365854,5.345560975609756,False,-0.4319068400216451,33.33333333333333,1.0285714285714285,1.0,0.0052677787532923615
18109041,2025-12-31,S.V.E. VII: Hybrid Models of State Structure,15,14,10,8,6.734559789750328,1.4848780487804878,2.227317073170732,False,-0.4465013689347313,66.66666666666666,1.0714285714285714,1.25,0.004389815627743635
18109012,2025-12-31,S.V.E. VI: The Protocol for Cognitive Sovereignty,18,16,12,11,6.734559789750328,1.7818536585365854,2.672780487804878,False,-0.4319068400216451,66.66666666666666,1.125,1.0909090909090908,0.0052677787532923615
18108975,2025-12-31,S.V.E. V: An Operating System for Verifiable Democracy,64,63,40,39,6.734559789750328,5.939512195121951,9.503219512195122,False,-0.2275834352384381,62.5,1.0158730158730158,1.0256410256410255,0.01755926251097454
18108946,2025-12-31,S.V.E. IV: The Beacon Protocol,25,25,17,16,6.734559789750328,2.5242926829268293,3.7121951219512197,False,-0.39542051773892956,68.0,1.0,1.0625,0.007462686567164179
18108907,2025-12-31,S.V.E. III: The Protocol for Academic Integrity,14,13,11,9,6.734559789750328,1.6333658536585367,2.078829268292683,False,-0.4392041044781882,78.57142857142857,1.0769230769230769,1.2222222222222223,0.004828797190517998
18108863,2025-12-31,S.V.E. II: The Architecture of Verifiable Truth,19,17,13,10,6.734559789750328,1.9303414634146343,2.821268292682927,False,-0.424609575565102,68.42105263157895,1.1176470588235294,1.3,0.005706760316066725
18108823,2025-12-31,S.V.E. I: The Theorem of Systemic Failure,40,38,28,27,6.734559789750328,4.157658536585366,5.939512195121951,False,-0.3151506087169554,70.0,1.0526315789473684,1.037037037037037,0.012291483757682178
18108751,2025-12-31,S.V.E. 0 (2): The Socratic Investigative Process (SIP),58,55,32,30,6.734559789750328,4.751609756097561,8.61229268292683,False,-0.28596155089078296,55.172413793103445,1.0545454545454545,1.0666666666666667,0.014047410008779631
18108307,2025-12-31,S.V.E. 0 (1): The Epistemological Boxing Protocol,32,30,24,21,6.734559789750328,3.563707317073171,4.751609756097561,False,-0.3443396665431278,75.0,1.0666666666666667,1.1428571428571428,0.010535557506584723
