"Категория","Что должно быть представлено","Минимум / ориентир"
"Полная Behördenakte","Бумажная и электронная акта без пробелов","Полностью, lückenlos 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx"
"E-Mails","Все входящие, исходящие и внутренние письма с метаданными","Все письма по делу 01_Ergaenzung_zum_Antrag_auf_Akteneinsicht_VG_2_K_202_26.docx+1"
"Faxe","Все факсы, включая Sende- und Empfangsberichte","Не менее 5 уже известных факсов, плюс все прочие 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Einschreiben / Post","Все почтовые отправления и Zustellnachweise","Все, включая Rückscheine 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Telefonate","Gesprächsnotizen, Gesprächsvermerke, Transkripte","Включая первый звонок 21.09.2025, 21:13 Uhr 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Audio","Все оригинальные аудиофайлы по делу","Как минимум все отправленные вами аудио 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Audio-Transkripte","Все имеющиеся расшифровки","Как минимум транскрипт первого звонка, если имеется 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"FACIL-Tickets","Все тикеты, версии, вложения, Verknüpfungen","Все, без исключений 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Statushistorie","История статусов тикетов и вложений","Все статусы и изменения 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Interne Vermerke / Handakten","Внутренние заметки, пометки, Handakten","Все 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Weiterleitungen","Все внутренние пересылки между Referaten","Все 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Bearbeitungsprotokolle","Следы обработки по делу","Все 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Audit-Trail","Протокол системных событий","Все, soweit vorhanden 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Zugriffsprotokolle","Кто, когда и к чему обращался","Все 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"ACL / Berechtigungen","Права доступа к материалам","Все действовавшие Berechtigungen 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx"
"Löschprotokolle","Удаления, Papierkorb, удалённые объекты","Все 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Archivierung / Restore","Архивация и восстановление","Все соответствующие логи 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Export-/Print-Logs","Экспорт, печать, PDF-выгрузки","Все 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Error-/Exception-Logs","Ошибки, сбои, исключения","Все, soweit vorhanden 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Gateway-/MDM-Logs","Следы по шлюзам и мобильным устройствам","Все, если связаны с делом 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Dateiliste / Dateimetadaten","Полный перечень файлов, названия, время, формат, размер","Полностью 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Hashwerte","Данные целостности, например SHA-256","Soweit vorhanden 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"DSGVO-Daten","Verarbeitungsvorgänge nach Art. 15 DSGVO","Полностью в релевантной части 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx+1"
"Schwärzungen / fehlende Unterlagen","Основание, объём, дата, ответственное лицо","По каждому случаю отдельно 02_Ergaenzende_Erklaerung_VG_2_K_202_26.docx+2"
"Vollständigkeitserklärung","Подписанное подтверждение полноты","1 отдельное письменное подтверждение 03_Anlage_A_Checkliste_der_vollstaendigen_Behoerdenakte.docx"
